"","where","cases","deaths","AIANNHCE","AIANNHNS","GEOID","NAMELSAD","ALAND","AWATER","tot_pop","Shape_Length","Shape_Area","deathrate","caserate"
"607","St. Michael",NA,NA,7375,2419229,"7375R","St. Michael ANVSA",56325557,16363506,468,0.7589677,0.013078773,NA,NA
"608","St. Paul",NA,NA,7390,2419230,"7390R","St. Paul ANVSA",109514406,5385553,425,0.894992159,0.017061041,NA,NA
"609","Saint Regis Mohawk Tribe and Mohawk Council of Akwesasne",NA,NA,3320,979449,"3320R","St. Regis Mohawk Reservation",49055465,5306039,3302,0.432345175,0.006201721,NA,NA
"610","Star Muskogee Creek",NA,NA,9880,2419231,"9880R","Star Muskogee Creek SDTSA",291590475,810262,6190,1.628893011,0.027825063,NA,NA
"611","Stebbins",NA,NA,7510,2419232,"7510R","Stebbins ANVSA",84449862,3944516,473,0.776667004,0.015906017,NA,NA
"612","Stevens Village",NA,NA,7520,2419234,"7520R","Stevens Village ANVSA",30174876,3739390,11,0.455953527,0.006704934,NA,NA
"613","Stewart",NA,NA,3980,2419480,"3980R","Stewart Community",11447757,6001,122,0.481738062,0.00119212,NA,NA
"614","Stewarts Point",NA,NA,3985,235473,"3985R","Stewarts Point Rancheria",171789,0,91,0.01706993,1.77788e-05,NA,NA
"615","Stillaguamish",NA,NA,4000,2419481,"4000R","Stillaguamish Reservation",111048,0,11,0.023816106,1.3438e-05,NA,NA
"616","Stockbridge Munsee",NA,NA,4015,1577203,"4015R","Stockbridge Munsee Community",61058563,95813,765,1.193048745,0.006968641,NA,NA
"617","Stony River",NA,NA,7525,2419236,"7525R","Stony River ANVSA",8125437,3677053,41,0.384413946,0.002007627,NA,NA
"618","Sulphur Bank",NA,NA,4030,267889,"4030R","Sulphur Bank Rancheria",193613,23476,46,0.023507301,2.25766e-05,NA,NA
"619","Summit Lake",NA,NA,4045,858261,"4045R","Summit Lake Reservation",48222494,1837377,0,0.383459549,0.00540023,NA,NA
"620","Susanville",NA,NA,4060,235836,"4060R","Susanville Indian Rancheria",4145410,0,577,0.138228568,0.000440033,NA,NA
"621","Swinomish",NA,NA,4075,1528418,"4075R","Swinomish Reservation",30853578,23639270,2915,0.460282109,0.00661832,NA,NA
"622","Sycuan",NA,NA,4090,273630,"4090R","Sycuan Reservation",2560687,0,172,0.063277191,0.000246464,NA,NA
"623","Table Bluff",NA,NA,4095,1665550,"4095R","Table Bluff Reservation",305520,0,161,0.024448241,3.25486e-05,NA,NA
"624","Table Mountain",NA,NA,4110,2419484,"4110R","Table Mountain Rancheria",551202,0,9,0.03189903,5.57882e-05,NA,NA
"625","Takotna",NA,NA,7530,2419241,"7530R","Takotna ANVSA",61682441,0,23,0.889124755,0.010914366,NA,NA
"626","Tama",NA,NA,9400,2419487,"9400R","Tama (state) Reservation",365137,2118,11,0.027891248,3.46355e-05,NA,NA
"627","Tampa",NA,NA,4130,2419488,"4130R","Tampa Reservation",179740,1837,0,0.017392361,1.66569e-05,NA,NA
"628","Tanacross",NA,NA,7535,2419244,"7535R","Tanacross ANVSA",204870313,4217785,141,1.37011717,0.03746988,NA,NA
"629","Tanana",NA,NA,7540,2419247,"7540R","Tanana ANVSA",27636124,11208201,242,0.430736999,0.007433603,NA,NA
"630","Taos",NA,NA,4140,1934342,"4140R","Taos Pueblo",401232445,154305,5129,1.521742662,0.040353477,NA,NA
"631","Tatitlek",NA,NA,7555,2419248,"7555R","Tatitlek ANVSA",18781753,7281435,78,0.337425235,0.004308037,NA,NA
"632","Tazlina",NA,NA,7560,2419250,"7560R","Tazlina ANVSA",31875183,2206775,354,0.442392434,0.005848989,NA,NA
"633","Telida",NA,NA,7565,2419252,"7565R","Telida ANVSA",4335609,0,0,0.141271892,0.000777711,NA,NA
"634","Teller",NA,NA,7570,2419253,"7570R","Teller ANVSA",3865313,487521,182,0.23171593,0.000835492,NA,NA
"635","Tesuque",NA,NA,4170,937203,"4170R","Tesuque Pueblo",68548064,0,921,0.333044488,0.006834997,NA,NA
"636","Tetlin",NA,NA,7580,2419255,"7580R","Tetlin ANVSA",473948515,28316360,144,2.290520255,0.089331309,NA,NA
"637","Timbi-Sha Shoshone",NA,NA,4180,2419492,"4180R","Timbi-Sha Shoshone Reservation",31762611,0,24,0.562601034,0.003221397,NA,NA
"638","Togiak",NA,NA,7605,2419257,"7605R","Togiak ANVSA",122590090,215448099,705,1.131570675,0.052806472,NA,NA
"639","Toksook Bay",NA,NA,7625,2419259,"7625R","Toksook Bay ANVSA",27232452,81777,506,0.356966665,0.004467579,NA,NA
"640","Tonawanda",NA,NA,4225,979554,"4225R","Tonawanda Reservation",30561278,180036,452,0.271946063,0.003397322,NA,NA
"641","Tonkawa",NA,NA,5860,1925069,"5860R","Tonkawa OTSA",369046070,2754555,3918,0.77899364,0.037484019,NA,NA
"642","Tonto Apache",NA,NA,4235,32748,"4235R","Tonto Apache Reservation",391178,0,140,0.026802788,3.82709e-05,NA,NA
"643","Torres-Martinez",NA,NA,4255,255924,"4255R","Torres-Martinez Reservation",88623712,38962138,2511,2.886207982,0.012375592,NA,NA
"644","Trinidad",NA,NA,4275,268407,"4275R","Trinidad Rancheria",230909,0,170,0.023438657,2.47332e-05,NA,NA
"645","Tule River",NA,NA,4300,275158,"4300R","Tule River Reservation",218116280,927,1227,0.697326892,0.021810402,NA,NA
"646","Tuluksak",NA,NA,7630,2419263,"7630R","Tuluksak ANVSA",7577771,246129,415,0.187117152,0.001301962,NA,NA
"647","Tunica-Biloxi",NA,NA,4315,2419503,"4315R","Tunica-Biloxi Reservation",1689054,0,141,0.08823036,0.000159704,NA,NA
"648","Tuntutuliak",NA,NA,7640,2419265,"7640R","Tuntutuliak ANVSA",4984619,716251,566,0.21932772,0.000926555,NA,NA
"649","Tununak",NA,NA,7645,2419267,"7645R","Tununak ANVSA",157228998,620897,339,1.075004746,0.025842079,NA,NA
"650","Tuolumne",NA,NA,4330,236635,"4330R","Tuolumne Rancheria",1539777,0,196,0.069516143,0.0001579,NA,NA
"651","Tuscarora Nation",NA,NA,4360,979564,"4360R","Tuscarora Nation Reservation",23524717,0,1078,0.235775854,0.002603761,NA,NA
"652","Twenty-Nine Palms",NA,NA,4375,250737,"4375R","Twenty-Nine Palms Reservation",1647478,0,7,0.080557717,0.000160536,NA,NA
"653","Twin Hills",NA,NA,7650,2419269,"7650R","Twin Hills ANVSA",59318572,348444,63,0.708949651,0.00934142,NA,NA
"654","Tyonek",NA,NA,7655,2419272,"7655R","Tyonek ANVSA",32960617,1695007,348,0.556689768,0.005763468,NA,NA
"655","Ualapue",NA,NA,5216,1853355,"5216T","Ualapue Hawaiian Home Land",1658281,0,5,0.073930369,0.000144125,NA,NA
"656","Ugashik",NA,NA,7665,2419274,"7665R","Ugashik ANVSA",247620490,2205172,8,1.544295143,0.037420546,NA,NA
"657","Uintah and Ouray",NA,NA,4390,1448012,"4390R","Uintah and Ouray Reservation",17538820315,132099968,25857,9.144704385,1.866282384,NA,NA
"658","Umatilla",NA,NA,4405,1159100,"4405R","Umatilla Reservation",700326730,0,2937,2.901169428,0.080802133,NA,NA
"659","Unalakleet",NA,NA,7690,2419276,"7690R","Unalakleet ANVSA",30752192,5397755,702,0.382991141,0.00660918,NA,NA
"660","Unalaska",NA,NA,7695,2419277,"7695R","Unalaska ANVSA",215640186,6061688,4781,1.746909738,0.030288891,NA,NA
"661","United Cherokee Ani-Yun-Wiya Nation",NA,NA,9950,2575195,"9950R","United Cherokee Ani-Yun-Wiya Nation SDTSA",21923628,2152751,6496,0.45520445,0.002358247,NA,NA
"662","Upolu",NA,NA,5222,2634633,"5222T","Upolu Hawaiian Home Land",142285,0,0,0.019323191,1.23011e-05,NA,NA
"663","Upper Lake",NA,NA,4430,1654496,"4430R","Upper Lake Rancheria",1918813,8580,105,0.091693251,0.000200949,NA,NA
"664","Upper Sioux",NA,NA,4445,653567,"4445R","Upper Sioux Community",5200533,115487,132,0.185684513,0.000604201,NA,NA
"665","Upper Skagit",NA,NA,4455,2419510,"4455R","Upper Skagit Reservation",455129,0,266,0.054308887,5.54347e-05,NA,NA
"666","Upper South Carolina Pee Dee",NA,NA,9963,2564995,"9963R","Upper South Carolina Pee Dee SDTSA",102270828,90857,1363,0.413759437,0.010050598,NA,NA
"667","Ute Mountain",NA,NA,4470,169579,"4470R","Ute Mountain Reservation",2302794335,354826,1544,3.717348858,0.233445794,NA,NA
"668","Venetie",NA,NA,7725,2575192,"7725R","Venetie ANVSA",30296041,0,134,0.542029224,0.006235233,NA,NA
"669","Viejas",NA,NA,4500,251037,"4500R","Viejas Reservation",6495773,0,459,0.15206593,0.0006257,NA,NA
"670","Waccamaw",NA,NA,9967,2564996,"9967R","Waccamaw SDTSA",3315942,10884,9,0.089529855,0.000324548,NA,NA
"671","Waccamaw Siouan",NA,NA,9970,2419280,"9970R","Waccamaw Siouan SDTSA",116825121,4394,2008,0.981838669,0.011451384,NA,NA
"672","Waiahole",NA,NA,5223,2634634,"5223T","Waiahole Hawaiian Home Land",74572,0,42,0.036528587,6.49886e-06,NA,NA
"673","Waiakea",NA,NA,5236,364489,"5236T","Waiakea Hawaiian Home Land",5606652,0,0,0.252282846,0.00048305,NA,NA
"674","Waianae",NA,NA,5238,1853126,"5238T","Waianae Hawaiian Home Land",1497781,0,2542,0.138905493,0.000130513,NA,NA
"675","Waianae Kai",NA,NA,5239,2634648,"5239T","Waianae Kai Hawaiian Home Land",101577,0,782,0.014097773,8.84972e-06,NA,NA
"676","Waiehu",NA,NA,5241,364587,"5241T","Waiehu Hawaiian Home Land",524527,0,1507,0.036294988,4.55445e-05,NA,NA
"677","Waiku-Hana",NA,NA,5248,2634649,"5248T","Waiku-Hana Hawaiian Home Land",2981190,0,0,0.096283842,0.0002586,NA,NA
"678","Wailau",NA,NA,5251,364713,"5251T","Wailau Hawaiian Home Land",258239,0,0,0.019801958,2.21758e-05,NA,NA
"679","Wailua",NA,NA,5256,364740,"5256T","Wailua Hawaiian Home Land",2201622,0,0,0.11310282,0.000192594,NA,NA
"680","Waimanalo",NA,NA,5271,364774,"5271T","Waimanalo Hawaiian Home Land",8174591,0,3061,0.41463205,0.000711666,NA,NA
"681","Waimanu",NA,NA,5276,364785,"5276T","Waimanu Hawaiian Home Land",835382,0,0,0.075696841,7.21706e-05,NA,NA
"682","Waimea",NA,NA,5281,2414262,"5281T","Waimea Hawaiian Home Land",61023810,13039,0,0.294650539,0.005339614,NA,NA
"683","Wainwright",NA,NA,7735,2419281,"7735R","Wainwright ANVSA",26712260,0,508,0.552179016,0.006470527,NA,NA
"684","Waiohinu",NA,NA,5283,364821,"5283T","Waiohinu Hawaiian Home Land",1116534,0,0,0.12738416,9.58405e-05,NA,NA
"685","Waiohuli (Residential)",NA,NA,5286,1853042,"5286T","Waiohuli (Residential) Hawaiian Home Land",14917552,0,1277,0.218799901,0.001293677,NA,NA
"686","Wales",NA,NA,7740,2419282,"7740R","Wales ANVSA",5966050,121,170,0.168852896,0.001160854,NA,NA
"687","Walker River",NA,NA,4515,857504,"4515R","Walker River Reservation",1367746294,7784371,1209,2.214803837,0.143027077,NA,NA
"688","Wampanoag-Aquinnah",NA,NA,4530,2419514,"4530T","Wampanoag-Aquinnah Trust Land",1903942,21663,66,0.309559187,0.00020715,NA,NA
"689","Warm Springs",NA,NA,4545,1133438,"4545R","Warm Springs Reservation",2617013942,10698881,4296,2.804678374,0.299187969,NA,NA
"690","Washoe Ranches",NA,NA,4560,2419516,"4560T","Washoe Ranches Trust Land",375530043,2705893,3096,5.341436459,0.039261489,NA,NA
"691","Wassamasaw",NA,NA,9975,2584541,"9975R","Wassamasaw SDTSA",23004982,0,2188,0.291093171,0.002221351,NA,NA
"692","Wells",NA,NA,4580,849846,"4580R","Wells Colony",328255,0,99,0.026184425,3.51933e-05,NA,NA
"693","White Earth",NA,NA,4595,1934333,"4595R","White Earth Reservation",2832819296,179359846,9845,2.586556748,0.357760598,NA,NA
"694","White Mountain ",NA,NA,7745,2419284,"7745R","White Mountain ANVSA",4726281,574076,186,0.160853286,0.00099592,NA,NA
"695","Winnemucca",NA,NA,4635,849652,"4635R","Winnemucca Indian Colony",1441447,0,29,0.062582695,0.000154165,NA,NA
"696","Woodfords",NA,NA,4665,1985241,"4665R","Woodfords Community",1578715,0,284,0.088922141,0.000163708,NA,NA
"697","Wrangell",NA,NA,7755,2575193,"7755R","Wrangell ANVSA",2414801,0,1323,0.12080462,0.000351889,NA,NA
"698","Wyandotte",NA,NA,5890,2419290,"5890R","Wyandotte OTSA",84411861,3943307,1687,0.570222386,0.008921037,NA,NA
"699","XL Ranch",NA,NA,4680,252581,"4680R","XL Ranch Rancheria",39457225,41930,51,1.269568172,0.004264992,NA,NA
"700","Yakutat",NA,NA,7765,2419292,"7765R","Yakutat ANVSA",259961402,8696512,665,1.572508472,0.042661365,NA,NA
"701","Yavapai-Apache Nation",NA,NA,4708,27214,"4708R","Yavapai-Apache Nation Reservation",2754947,0,712,0.135585008,0.000270814,NA,NA
"702","Yavapai-Prescott",NA,NA,4710,36443,"4710R","Yavapai-Prescott Reservation",5704649,0,368,0.145914035,0.000560312,NA,NA
"703","Yerington",NA,NA,4725,848133,"4725R","Yerington Colony",81231,0,216,0.013509127,8.44459e-06,NA,NA
"704","Yomba",NA,NA,4740,862119,"4740R","Yomba Reservation",18911932,11308,91,0.757108158,0.001967254,NA,NA
"705","Ysleta del Sur",NA,NA,4755,2419529,"4755R","Ysleta del Sur Pueblo",299406,0,1220,0.047173065,2.85204e-05,NA,NA
"706","Yurok",NA,NA,4760,2419530,"4760R","Yurok Reservation",217781902,8668719,811,1.810261512,0.024371758,NA,NA
